date,region,pm25,temperature,humidity
2025-02-10,US Diplomatic Post: New Delhi-8118,123.88,29.04,48.65
2025-02-11,US Diplomatic Post: New Delhi-8118,115.38,26.45,49.63
2025-02-12,US Diplomatic Post: New Delhi-8118,62.04,27.51,50.94
2025-02-13,US Diplomatic Post: New Delhi-8118,11.12,26.86,48.63
2025-02-14,US Diplomatic Post: New Delhi-8118,70.92,27.49,54.36
2025-02-15,US Diplomatic Post: New Delhi-8118,109.67,27.56,53.13
2025-02-16,US Diplomatic Post: New Delhi-8118,124.75,27.51,48.93
2025-02-17,US Diplomatic Post: New Delhi-8118,91.29,26.75,52.39
2025-02-18,US Diplomatic Post: New Delhi-8118,81.67,27.44,46.13
2025-02-19,US Diplomatic Post: New Delhi-8118,63.83,29.1,52.71
2025-02-20,US Diplomatic Post: New Delhi-8118,58.96,26.78,54.06
2025-02-21,US Diplomatic Post: New Delhi-8118,85.5,27.29,48.95
2025-02-22,US Diplomatic Post: New Delhi-8118,63.96,27.47,51.25
2025-02-23,US Diplomatic Post: New Delhi-8118,26.17,27.23,48.59
2025-02-24,US Diplomatic Post: New Delhi-8118,87.75,27.96,55.78
2025-02-25,US Diplomatic Post: New Delhi-8118,83.96,27.74,49.28
2025-02-26,US Diplomatic Post: New Delhi-8118,110.08,27.47,46.63
2025-02-27,US Diplomatic Post: New Delhi-8118,49.38,28.94,50.79
2025-02-28,New Delhi-8118,56.0,28.97,44.79
2025-02-28,US Diplomatic Post: New Delhi-8118,-110.95,28.09,48.35
2025-03-01,New Delhi-8118,60.38,27.7,50.86
2025-03-02,New Delhi-8118,45.08,28.77,50.78
2025-03-03,New Delhi-8118,58.67,26.76,50.02
2025-03-04,New Delhi-8118,43.38,27.46,50.9
2025-03-05,New Delhi-8118,34.58,27.37,50.37
2025-03-06,New Delhi-8118,59.21,28.25,48.51
2025-03-07,New Delhi-8118,89.88,26.91,48.86
2025-03-08,New Delhi-8118,64.29,25.92,45.74
2025-03-09,New Delhi-8118,83.0,27.31,52.53
2025-03-10,New Delhi-8118,93.42,28.21,50.73
2025-03-11,New Delhi-8118,107.12,26.99,48.62
2025-03-12,New Delhi-8118,77.29,27.55,49.2
2025-03-13,New Delhi-8118,87.96,27.28,49.04
2025-03-14,New Delhi-8118,55.08,25.78,47.4
2025-03-15,New Delhi-8118,32.71,29.42,48.0
2025-03-16,New Delhi-8118,44.0,29.79,49.45
2025-03-17,New Delhi-8118,59.29,28.06,46.26
2025-03-18,New Delhi-8118,69.5,27.47,50.33
2025-03-19,New Delhi-8118,60.12,28.08,52.54
2025-03-20,New Delhi-8118,56.71,27.88,48.16
2025-03-21,New Delhi-8118,69.17,27.47,54.39
2025-03-22,New Delhi-8118,60.75,26.2,53.06
2025-03-23,New Delhi-8118,67.17,29.35,46.8
2025-03-24,New Delhi-8118,77.12,27.63,51.2
2025-03-25,New Delhi-8118,89.5,28.0,48.61
2025-03-26,New Delhi-8118,79.21,26.85,54.53
2025-03-27,New Delhi-8118,70.83,26.85,47.3
2025-03-28,New Delhi-8118,41.29,26.85,47.8
2025-03-29,New Delhi-8118,41.42,27.25,53.2
2025-03-30,New Delhi-8118,48.33,27.36,52.51
2025-03-31,New Delhi-8118,70.71,28.41,50.31
2025-04-01,New Delhi-8118,81.46,27.55,50.82
2025-04-02,New Delhi-8118,90.88,27.95,51.86
2025-04-03,New Delhi-8118,59.25,27.78,52.1
2025-04-04,New Delhi-8118,58.33,28.84,47.01
2025-04-05,New Delhi-8118,81.92,28.12,53.47
2025-04-06,New Delhi-8118,65.96,27.96,49.86
2025-04-07,New Delhi-8118,92.29,28.27,49.53
2025-04-08,New Delhi-8118,90.38,27.04,52.56
2025-04-09,New Delhi-8118,91.62,28.73,55.29
2025-04-10,New Delhi-8118,60.38,28.33,49.79
2025-04-11,New Delhi-8118,44.71,26.85,50.42
2025-04-12,New Delhi-8118,49.71,28.27,51.14
2025-04-13,New Delhi-8118,61.88,27.17,48.08
2025-04-14,New Delhi-8118,65.12,27.56,48.63
2025-04-15,New Delhi-8118,63.33,27.45,51.47
2025-04-16,New Delhi-8118,85.12,27.53,48.48
2025-04-17,New Delhi-8118,64.12,27.47,50.43
2025-04-18,New Delhi-8118,81.38,27.21,45.79
2025-04-19,New Delhi-8118,52.29,27.15,51.07
2025-04-20,New Delhi-8118,62.88,27.5,49.93
2025-04-21,New Delhi-8118,72.58,27.06,50.71
2025-04-22,New Delhi-8118,74.79,29.45,47.87
2025-04-23,New Delhi-8118,94.04,28.68,48.6
2025-04-24,New Delhi-8118,71.71,27.56,45.35
2025-04-25,New Delhi-8118,97.5,26.98,49.85
2025-04-26,New Delhi-8118,103.58,25.79,46.36
2025-04-27,New Delhi-8118,97.16,27.8,50.77
