timestamp,region,pm25,temperature,humidity,pm25_zscore,temperature_zscore,humidity_zscore,date,hour,pm25_rolling_avg_3,pm25_lag_1,pm25_rate_of_change
2025-01-02 18:30:00+00:00,New Delhi-8118,208.0,25.76,63.7,0.68,-0.42,1.19,2025-01-02,18,236.33,210.0,-2.0
2025-01-04 19:30:00+00:00,New Delhi-8118,254.0,21.76,58.37,0.9,-1.34,0.72,2025-01-04,19,224.0,208.0,46.0
2025-01-04 20:30:00+00:00,New Delhi-8118,219.0,24.58,62.19,0.73,-0.69,1.06,2025-01-04,20,227.0,254.0,-35.0
2025-01-04 21:30:00+00:00,New Delhi-8118,-999.0,20.36,64.62,-4.9,-1.66,1.27,2025-01-04,21,-175.33,219.0,-1218.0
2025-01-04 22:30:00+00:00,New Delhi-8118,-999.0,32.48,62.47,-4.9,1.12,1.08,2025-01-04,22,-593.0,-999.0,0.0
2025-01-04 23:30:00+00:00,New Delhi-8118,-999.0,30.17,52.67,-4.9,0.59,0.22,2025-01-04,23,-999.0,-999.0,0.0
2025-01-05 00:30:00+00:00,New Delhi-8118,-999.0,33.65,51.53,-4.9,1.39,0.12,2025-01-05,0,-999.0,-999.0,0.0
2025-01-05 01:30:00+00:00,New Delhi-8118,-999.0,25.81,35.99,-4.9,-0.41,-1.25,2025-01-05,1,-999.0,-999.0,0.0
2025-01-05 02:30:00+00:00,New Delhi-8118,-999.0,26.1,49.93,-4.9,-0.34,-0.02,2025-01-05,2,-999.0,-999.0,0.0
2025-01-05 03:30:00+00:00,New Delhi-8118,-999.0,30.82,43.99,-4.9,0.74,-0.55,2025-01-05,3,-999.0,-999.0,0.0
2025-01-05 04:30:00+00:00,New Delhi-8118,-999.0,22.63,50.59,-4.9,-1.14,0.03,2025-01-05,4,-999.0,-999.0,0.0
2025-01-05 05:30:00+00:00,New Delhi-8118,-999.0,27.1,58.77,-4.9,-0.11,0.75,2025-01-05,5,-999.0,-999.0,0.0
2025-01-05 06:30:00+00:00,New Delhi-8118,-999.0,26.3,46.38,-4.9,-0.3,-0.34,2025-01-05,6,-999.0,-999.0,0.0
2025-01-05 07:30:00+00:00,New Delhi-8118,-999.0,25.32,56.12,-4.9,-0.52,0.52,2025-01-05,7,-999.0,-999.0,0.0
2025-01-05 08:30:00+00:00,New Delhi-8118,-999.0,31.9,68.09,-4.9,0.99,1.57,2025-01-05,8,-999.0,-999.0,0.0
2025-01-05 09:30:00+00:00,New Delhi-8118,-999.0,31.13,59.95,-4.9,0.81,0.86,2025-01-05,9,-999.0,-999.0,0.0
2025-01-05 10:30:00+00:00,New Delhi-8118,-999.0,30.53,36.79,-4.9,0.67,-1.18,2025-01-05,10,-999.0,-999.0,0.0
2025-01-05 11:30:00+00:00,New Delhi-8118,-999.0,20.81,63.51,-4.9,-1.56,1.17,2025-01-05,11,-999.0,-999.0,0.0
2025-01-05 12:30:00+00:00,New Delhi-8118,-999.0,30.52,64.28,-4.9,0.67,1.24,2025-01-05,12,-999.0,-999.0,0.0
2025-01-05 13:30:00+00:00,New Delhi-8118,-999.0,24.65,64.5,-4.9,-0.68,1.26,2025-01-05,13,-999.0,-999.0,0.0
2025-01-05 14:30:00+00:00,New Delhi-8118,-999.0,22.14,35.65,-4.9,-1.25,-1.28,2025-01-05,14,-999.0,-999.0,0.0
2025-01-05 15:30:00+00:00,New Delhi-8118,-999.0,26.76,62.77,-4.9,-0.19,1.11,2025-01-05,15,-999.0,-999.0,0.0
2025-01-05 16:30:00+00:00,New Delhi-8118,-999.0,25.21,69.97,-4.9,-0.55,1.74,2025-01-05,16,-999.0,-999.0,0.0
2025-01-05 17:30:00+00:00,New Delhi-8118,-999.0,23.57,49.08,-4.9,-0.92,-0.1,2025-01-05,17,-999.0,-999.0,0.0
2025-01-05 18:30:00+00:00,New Delhi-8118,-999.0,25.98,53.1,-4.9,-0.37,0.26,2025-01-05,18,-999.0,-999.0,0.0
2025-01-12 19:30:00+00:00,New Delhi-8118,180.0,28.73,48.09,0.55,0.26,-0.19,2025-01-12,19,-606.0,-999.0,1179.0
2025-01-12 20:30:00+00:00,New Delhi-8118,150.0,27.55,66.29,0.41,-0.01,1.42,2025-01-12,20,-223.0,180.0,-30.0
2025-01-12 21:30:00+00:00,New Delhi-8118,138.0,34.21,37.67,0.36,1.52,-1.1,2025-01-12,21,156.0,150.0,-12.0
2025-01-12 22:30:00+00:00,New Delhi-8118,121.0,32.03,54.61,0.28,1.02,0.39,2025-01-12,22,136.33,138.0,-17.0
2025-01-12 23:30:00+00:00,New Delhi-8118,108.0,29.0,52.0,0.22,0.32,0.16,2025-01-12,23,122.33,121.0,-13.0
2025-01-13 00:30:00+00:00,New Delhi-8118,98.0,30.2,31.08,0.17,0.6,-1.68,2025-01-13,0,109.0,108.0,-10.0
2025-01-13 01:30:00+00:00,New Delhi-8118,84.0,24.07,44.39,0.11,-0.81,-0.51,2025-01-13,1,96.67,98.0,-14.0
2025-01-13 02:30:00+00:00,New Delhi-8118,88.0,34.75,44.63,0.13,1.64,-0.49,2025-01-13,2,90.0,84.0,4.0
2025-01-13 03:30:00+00:00,New Delhi-8118,106.0,23.37,31.04,0.21,-0.97,-1.69,2025-01-13,3,92.67,88.0,18.0
2025-01-13 04:30:00+00:00,New Delhi-8118,111.0,29.38,57.89,0.23,0.41,0.68,2025-01-13,4,101.67,106.0,5.0
2025-01-13 05:30:00+00:00,New Delhi-8118,121.0,30.17,68.96,0.28,0.59,1.65,2025-01-13,5,112.67,111.0,10.0
2025-01-13 06:30:00+00:00,New Delhi-8118,97.0,34.12,41.84,0.17,1.5,-0.74,2025-01-13,6,109.67,121.0,-24.0
2025-01-13 07:30:00+00:00,New Delhi-8118,110.0,30.03,46.87,0.23,0.56,-0.29,2025-01-13,7,109.33,97.0,13.0
2025-01-13 08:30:00+00:00,New Delhi-8118,104.0,20.73,64.94,0.2,-1.58,1.3,2025-01-13,8,103.67,110.0,-6.0
2025-01-13 09:30:00+00:00,New Delhi-8118,114.0,33.16,54.73,0.25,1.28,0.4,2025-01-13,9,109.33,104.0,10.0
2025-01-13 10:30:00+00:00,New Delhi-8118,113.0,30.77,52.35,0.24,0.73,0.19,2025-01-13,10,110.33,114.0,-1.0
2025-01-13 11:30:00+00:00,New Delhi-8118,117.0,29.04,34.76,0.26,0.33,-1.36,2025-01-13,11,114.67,113.0,4.0
2025-01-13 12:30:00+00:00,New Delhi-8118,117.0,20.8,54.93,0.26,-1.56,0.42,2025-01-13,12,115.67,117.0,0.0
2025-01-13 13:30:00+00:00,New Delhi-8118,123.0,26.92,50.44,0.29,-0.16,0.02,2025-01-13,13,119.0,117.0,6.0
2025-01-13 14:30:00+00:00,New Delhi-8118,142.0,26.25,66.39,0.38,-0.31,1.42,2025-01-13,14,127.33,123.0,19.0
2025-01-13 15:30:00+00:00,New Delhi-8118,127.0,34.28,48.08,0.31,1.53,-0.19,2025-01-13,15,130.67,142.0,-15.0
2025-01-13 16:30:00+00:00,New Delhi-8118,151.0,21.7,58.3,0.42,-1.35,0.71,2025-01-13,16,140.0,127.0,24.0
2025-01-13 17:30:00+00:00,New Delhi-8118,187.0,34.31,42.01,0.59,1.54,-0.72,2025-01-13,17,155.0,151.0,36.0
2025-01-13 18:30:00+00:00,New Delhi-8118,188.0,28.43,36.67,0.59,0.19,-1.19,2025-01-13,18,175.33,187.0,1.0
2025-01-20 19:30:00+00:00,New Delhi-8118,167.0,34.64,50.81,0.49,1.61,0.05,2025-01-20,19,180.67,188.0,-21.0
2025-01-20 20:30:00+00:00,New Delhi-8118,162.0,34.39,50.4,0.47,1.56,0.02,2025-01-20,20,172.33,167.0,-5.0
2025-01-20 21:30:00+00:00,New Delhi-8118,157.0,26.08,50.73,0.45,-0.35,0.05,2025-01-20,21,162.0,162.0,-5.0
2025-01-20 22:30:00+00:00,New Delhi-8118,150.0,22.65,53.0,0.41,-1.14,0.25,2025-01-20,22,156.33,157.0,-7.0
2025-01-20 23:30:00+00:00,New Delhi-8118,148.0,28.6,45.78,0.41,0.23,-0.39,2025-01-20,23,151.67,150.0,-2.0
2025-01-21 00:30:00+00:00,New Delhi-8118,143.0,25.67,37.36,0.38,-0.44,-1.13,2025-01-21,0,147.0,148.0,-5.0
2025-01-21 01:30:00+00:00,New Delhi-8118,140.0,21.01,63.26,0.37,-1.51,1.15,2025-01-21,1,143.67,143.0,-3.0
2025-01-21 02:30:00+00:00,New Delhi-8118,150.0,20.11,31.07,0.41,-1.72,-1.68,2025-01-21,2,144.33,140.0,10.0
2025-01-21 03:30:00+00:00,New Delhi-8118,145.0,31.2,68.02,0.39,0.83,1.57,2025-01-21,3,145.0,150.0,-5.0
2025-01-21 04:30:00+00:00,New Delhi-8118,145.0,27.23,64.51,0.39,-0.08,1.26,2025-01-21,4,146.67,145.0,0.0
2025-01-21 05:30:00+00:00,New Delhi-8118,117.0,28.8,67.98,0.26,0.28,1.56,2025-01-21,5,135.67,145.0,-28.0
2025-01-21 06:30:00+00:00,New Delhi-8118,84.0,23.04,57.3,0.11,-1.05,0.62,2025-01-21,6,115.33,117.0,-33.0
2025-01-21 07:30:00+00:00,New Delhi-8118,142.0,26.38,32.13,0.38,-0.28,-1.59,2025-01-21,7,114.33,84.0,58.0
2025-01-21 08:30:00+00:00,New Delhi-8118,102.0,25.3,42.54,0.19,-0.53,-0.67,2025-01-21,8,109.33,142.0,-40.0
2025-01-21 09:30:00+00:00,New Delhi-8118,85.0,21.85,52.05,0.11,-1.32,0.16,2025-01-21,9,109.67,102.0,-17.0
2025-01-21 10:30:00+00:00,New Delhi-8118,82.0,32.53,37.8,0.1,1.13,-1.09,2025-01-21,10,89.67,85.0,-3.0
2025-01-21 11:30:00+00:00,New Delhi-8118,87.0,29.16,56.15,0.12,0.36,0.52,2025-01-21,11,84.67,82.0,5.0
2025-01-21 12:30:00+00:00,New Delhi-8118,100.0,34.26,38.38,0.18,1.53,-1.04,2025-01-21,12,89.67,87.0,13.0
2025-01-21 13:30:00+00:00,New Delhi-8118,124.0,28.76,49.29,0.29,0.27,-0.08,2025-01-21,13,103.67,100.0,24.0
2025-01-21 14:30:00+00:00,New Delhi-8118,161.0,21.44,49.1,0.47,-1.41,-0.1,2025-01-21,14,128.33,124.0,37.0
2025-01-21 15:30:00+00:00,New Delhi-8118,176.0,27.1,64.92,0.53,-0.11,1.3,2025-01-21,15,153.67,161.0,15.0
2025-01-21 16:30:00+00:00,New Delhi-8118,170.0,20.69,32.11,0.51,-1.58,-1.59,2025-01-21,16,169.0,176.0,-6.0
2025-01-21 17:30:00+00:00,New Delhi-8118,156.0,21.33,64.41,0.44,-1.44,1.25,2025-01-21,17,167.33,170.0,-14.0
2025-01-21 18:30:00+00:00,New Delhi-8118,160.0,24.15,34.1,0.46,-0.79,-1.42,2025-01-21,18,162.0,156.0,4.0
2025-02-28 19:30:00+00:00,New Delhi-8118,46.0,30.18,36.33,-0.07,0.59,-1.22,2025-02-28,19,120.67,160.0,-114.0
2025-02-28 20:30:00+00:00,New Delhi-8118,60.0,33.57,36.37,-0.0,1.37,-1.22,2025-02-28,20,88.67,46.0,14.0
2025-02-28 21:30:00+00:00,New Delhi-8118,59.0,25.36,54.75,-0.01,-0.51,0.4,2025-02-28,21,55.0,60.0,-1.0
2025-02-28 22:30:00+00:00,New Delhi-8118,58.0,29.5,33.85,-0.01,0.44,-1.44,2025-02-28,22,59.0,59.0,-1.0
2025-02-28 23:30:00+00:00,New Delhi-8118,57.0,26.22,62.65,-0.02,-0.32,1.1,2025-02-28,23,58.0,58.0,-1.0
2025-03-01 00:30:00+00:00,New Delhi-8118,43.0,26.05,47.29,-0.08,-0.36,-0.26,2025-03-01,0,52.67,57.0,-14.0
2025-03-01 01:30:00+00:00,New Delhi-8118,46.0,30.61,46.9,-0.07,0.69,-0.29,2025-03-01,1,48.67,43.0,3.0
2025-03-01 02:30:00+00:00,New Delhi-8118,51.0,33.25,66.03,-0.04,1.3,1.39,2025-03-01,2,46.67,46.0,5.0
2025-03-01 03:30:00+00:00,New Delhi-8118,69.0,23.09,68.73,0.04,-1.03,1.63,2025-03-01,3,55.33,51.0,18.0
2025-03-01 04:30:00+00:00,New Delhi-8118,68.0,29.58,31.09,0.04,0.45,-1.68,2025-03-01,4,62.67,69.0,-1.0
2025-03-01 05:30:00+00:00,New Delhi-8118,56.0,25.47,57.58,-0.02,-0.49,0.65,2025-03-01,5,64.33,68.0,-12.0
2025-03-01 06:30:00+00:00,New Delhi-8118,69.0,26.93,46.95,0.04,-0.15,-0.29,2025-03-01,6,64.33,56.0,13.0
2025-03-01 07:30:00+00:00,New Delhi-8118,70.0,23.81,31.13,0.04,-0.87,-1.68,2025-03-01,7,65.0,69.0,1.0
2025-03-01 08:30:00+00:00,New Delhi-8118,67.0,21.77,63.25,0.03,-1.34,1.15,2025-03-01,8,68.67,70.0,-3.0
2025-03-01 09:30:00+00:00,New Delhi-8118,62.0,27.81,62.34,0.01,0.05,1.07,2025-03-01,9,66.33,67.0,-5.0
2025-03-01 10:30:00+00:00,New Delhi-8118,57.0,33.55,50.9,-0.02,1.36,0.06,2025-03-01,10,62.0,62.0,-5.0
2025-03-01 11:30:00+00:00,New Delhi-8118,61.0,34.35,52.52,0.0,1.55,0.2,2025-03-01,11,60.0,57.0,4.0
2025-03-01 12:30:00+00:00,New Delhi-8118,42.0,22.66,44.26,-0.09,-1.13,-0.52,2025-03-01,12,53.33,61.0,-19.0
2025-03-01 13:30:00+00:00,New Delhi-8118,44.0,34.19,69.26,-0.08,1.51,1.68,2025-03-01,13,49.0,42.0,2.0
2025-03-01 14:30:00+00:00,New Delhi-8118,44.0,20.71,46.85,-0.08,-1.58,-0.29,2025-03-01,14,43.33,44.0,0.0
2025-03-01 15:30:00+00:00,New Delhi-8118,54.0,27.16,58.16,-0.03,-0.1,0.7,2025-03-01,15,47.33,44.0,10.0
2025-03-01 16:30:00+00:00,New Delhi-8118,62.0,33.7,44.7,0.01,1.4,-0.48,2025-03-01,16,53.33,54.0,8.0
2025-03-01 17:30:00+00:00,New Delhi-8118,74.0,20.2,58.58,0.06,-1.7,0.74,2025-03-01,17,63.33,62.0,12.0
2025-03-01 18:30:00+00:00,New Delhi-8118,75.0,33.07,64.89,0.07,1.25,1.29,2025-03-01,18,70.33,74.0,1.0
2025-03-01 19:30:00+00:00,New Delhi-8118,77.0,31.25,44.78,0.08,0.84,-0.48,2025-03-01,19,75.33,75.0,2.0
2025-03-01 20:30:00+00:00,New Delhi-8118,72.0,26.92,38.66,0.05,-0.16,-1.02,2025-03-01,20,74.67,77.0,-5.0
2025-03-01 21:30:00+00:00,New Delhi-8118,71.0,23.09,45.3,0.05,-1.03,-0.43,2025-03-01,21,73.33,72.0,-1.0
2025-03-01 22:30:00+00:00,New Delhi-8118,60.0,27.02,30.36,-0.0,-0.13,-1.75,2025-03-01,22,67.67,71.0,-11.0
2025-03-01 23:30:00+00:00,New Delhi-8118,55.0,28.58,50.24,-0.02,0.22,0.0,2025-03-01,23,62.0,60.0,-5.0
2025-03-02 00:30:00+00:00,New Delhi-8118,53.0,26.05,69.57,-0.03,-0.36,1.7,2025-03-02,0,56.0,55.0,-2.0
2025-03-02 01:30:00+00:00,New Delhi-8118,50.0,25.54,43.12,-0.05,-0.47,-0.62,2025-03-02,1,52.67,53.0,-3.0
2025-03-02 02:30:00+00:00,New Delhi-8118,45.0,32.42,39.72,-0.07,1.11,-0.92,2025-03-02,2,49.33,50.0,-5.0
2025-03-02 03:30:00+00:00,New Delhi-8118,57.0,21.68,56.52,-0.02,-1.36,0.56,2025-03-02,3,50.67,45.0,12.0
2025-03-02 04:30:00+00:00,New Delhi-8118,61.0,30.72,39.45,0.0,0.72,-0.95,2025-03-02,4,54.33,57.0,4.0
2025-03-02 05:30:00+00:00,New Delhi-8118,56.0,33.01,58.52,-0.02,1.24,0.73,2025-03-02,5,58.0,61.0,-5.0
2025-03-02 06:30:00+00:00,New Delhi-8118,36.0,33.26,54.84,-0.11,1.3,0.41,2025-03-02,6,51.0,56.0,-20.0
2025-03-02 07:30:00+00:00,New Delhi-8118,20.0,28.26,58.27,-0.19,0.15,0.71,2025-03-02,7,37.33,36.0,-16.0
2025-03-02 08:30:00+00:00,New Delhi-8118,16.0,31.41,67.53,-0.21,0.87,1.53,2025-03-02,8,24.0,20.0,-4.0
2025-03-02 09:30:00+00:00,New Delhi-8118,12.0,33.17,33.83,-0.22,1.28,-1.44,2025-03-02,9,16.0,16.0,-4.0
2025-03-02 10:30:00+00:00,New Delhi-8118,18.0,32.29,50.99,-0.2,1.08,0.07,2025-03-02,10,15.33,12.0,6.0
2025-03-02 11:30:00+00:00,New Delhi-8118,20.0,24.73,36.31,-0.19,-0.66,-1.22,2025-03-02,11,16.67,18.0,2.0
2025-03-02 12:30:00+00:00,New Delhi-8118,19.0,26.12,60.01,-0.19,-0.34,0.86,2025-03-02,12,19.0,20.0,-1.0
2025-03-02 13:30:00+00:00,New Delhi-8118,27.0,31.15,46.19,-0.15,0.81,-0.35,2025-03-02,13,22.0,19.0,8.0
2025-03-02 14:30:00+00:00,New Delhi-8118,31.0,29.89,35.32,-0.14,0.53,-1.31,2025-03-02,14,25.67,27.0,4.0
2025-03-02 15:30:00+00:00,New Delhi-8118,39.0,32.65,43.68,-0.1,1.16,-0.57,2025-03-02,15,32.33,31.0,8.0
2025-03-02 16:30:00+00:00,New Delhi-8118,49.0,34.51,46.0,-0.05,1.59,-0.37,2025-03-02,16,39.67,39.0,10.0
2025-03-02 17:30:00+00:00,New Delhi-8118,61.0,25.31,60.29,0.0,-0.53,0.89,2025-03-02,17,49.67,49.0,12.0
2025-03-02 18:30:00+00:00,New Delhi-8118,64.0,32.04,38.42,0.02,1.02,-1.04,2025-03-02,18,58.0,61.0,3.0
2025-03-02 19:30:00+00:00,New Delhi-8118,84.0,29.13,58.74,0.11,0.35,0.75,2025-03-02,19,69.67,64.0,20.0
2025-03-02 20:30:00+00:00,New Delhi-8118,68.0,25.22,64.51,0.04,-0.55,1.26,2025-03-02,20,72.0,84.0,-16.0
2025-03-02 21:30:00+00:00,New Delhi-8118,69.0,21.14,30.89,0.04,-1.48,-1.7,2025-03-02,21,73.67,68.0,1.0
2025-03-02 22:30:00+00:00,New Delhi-8118,67.0,25.29,66.96,0.03,-0.53,1.48,2025-03-02,22,68.0,69.0,-2.0
2025-03-02 23:30:00+00:00,New Delhi-8118,60.0,25.43,58.93,-0.0,-0.5,0.77,2025-03-02,23,65.33,67.0,-7.0
2025-03-03 00:30:00+00:00,New Delhi-8118,49.0,30.77,44.06,-0.05,0.73,-0.54,2025-03-03,0,58.67,60.0,-11.0
2025-03-03 01:30:00+00:00,New Delhi-8118,55.0,34.74,38.03,-0.02,1.64,-1.07,2025-03-03,1,54.67,49.0,6.0
2025-03-03 02:30:00+00:00,New Delhi-8118,65.0,24.0,31.58,0.02,-0.83,-1.64,2025-03-03,2,56.33,55.0,10.0
2025-03-03 03:30:00+00:00,New Delhi-8118,109.0,29.92,57.32,0.22,0.53,0.63,2025-03-03,3,76.33,65.0,44.0
2025-03-03 04:30:00+00:00,New Delhi-8118,104.0,23.05,53.89,0.2,-1.04,0.32,2025-03-03,4,92.67,109.0,-5.0
2025-03-03 05:30:00+00:00,New Delhi-8118,55.0,29.64,51.86,-0.02,0.47,0.15,2025-03-03,5,89.33,104.0,-49.0
2025-03-03 06:30:00+00:00,New Delhi-8118,52.0,26.82,36.54,-0.04,-0.18,-1.2,2025-03-03,6,70.33,55.0,-3.0
2025-03-03 07:30:00+00:00,New Delhi-8118,44.0,20.13,39.64,-0.08,-1.71,-0.93,2025-03-03,7,50.33,52.0,-8.0
2025-03-03 08:30:00+00:00,New Delhi-8118,40.0,34.33,39.04,-0.09,1.54,-0.98,2025-03-03,8,45.33,44.0,-4.0
2025-03-03 09:30:00+00:00,New Delhi-8118,54.0,24.38,62.59,-0.03,-0.74,1.09,2025-03-03,9,46.0,40.0,14.0
2025-03-03 10:30:00+00:00,New Delhi-8118,41.0,29.76,37.69,-0.09,0.5,-1.1,2025-03-03,10,45.0,54.0,-13.0
2025-03-03 11:30:00+00:00,New Delhi-8118,37.0,29.23,30.15,-0.11,0.37,-1.76,2025-03-03,11,44.0,41.0,-4.0
2025-03-03 12:30:00+00:00,New Delhi-8118,33.0,28.69,58.75,-0.13,0.25,0.75,2025-03-03,12,37.0,37.0,-4.0
2025-03-03 13:30:00+00:00,New Delhi-8118,48.0,26.85,68.72,-0.06,-0.17,1.63,2025-03-03,13,39.33,33.0,15.0
2025-03-03 14:30:00+00:00,New Delhi-8118,50.0,20.09,54.01,-0.05,-1.72,0.34,2025-03-03,14,43.67,48.0,2.0
2025-03-03 15:30:00+00:00,New Delhi-8118,58.0,29.5,48.02,-0.01,0.44,-0.19,2025-03-03,15,52.0,50.0,8.0
